Date,0-300,301-350,351-400,401-410,411-420,421-430,431-440,441-450,451-460,461-470,471-480,481-490,491-500,501-600,601-1200,Total
2025-02-09,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-10,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-11,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-12,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-13,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-14,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-15,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-16,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-17,5641,21576,51079,12055,12833,12432,13621,12567,12953,13815,15652,13003,13487,23165,173,234052
2025-02-18,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-19,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-20,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-21,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-22,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-23,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-24,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-25,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-26,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-27,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-02-28,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-03-01,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-03-02,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-03-03,5726,21518,51315,12229,13028,12551,13763,12651,13119,14018,15836,13236,13683,21203,768,234644
2025-03-04,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-05,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-06,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-07,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-08,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-09,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-10,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-11,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-12,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-13,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-14,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-15,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-16,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-17,5637,20573,49555,12046,13014,12072,12429,11822,12298,13377,15213,12730,13174,23075,807,227822
2025-03-18,6047,21303,51802,12617,11919,11619,13018,12314,12936,14032,16033,13343,13711,25522,693,236909
2025-03-19,6047,21303,51802,12617,11919,11619,13018,12314,12936,14032,16033,13343,13711,25522,693,236909
